doi,modality,split,label
10.1155/2022/6507865,text,internal,paper_mill
10.1155/2022/4041550,text,internal,paper_mill
10.1155/2021/9921195,text,internal,paper_mill
10.1080/24701556.2020.1852421,text,internal,paper_mill
10.2147/ott.s183940,text,internal,paper_mill
10.1155/2022/3317624,text,internal,paper_mill
10.26355/eurrev_201911_19570,text,internal,paper_mill
10.26355/eurrev_202004_21014,text,internal,paper_mill
10.1155/2021/8985721,text,internal,paper_mill
10.1155/2021/1068090,text,internal,paper_mill
10.1002/ar.24350,text,internal,paper_mill
10.2147/ott.s257001,text,internal,paper_mill
10.1155/2021/2360717,text,internal,paper_mill
10.1042/bsr20191571,text,internal,paper_mill
10.1155/2021/4883509,text,internal,paper_mill
10.26355/eurrev_201912_19778,text,internal,paper_mill
10.1155/2019/9258075,text,internal,paper_mill
10.1155/2022/3726351,text,internal,paper_mill
10.1155/2022/2368155,text,internal,paper_mill
10.1155/2022/7587398,text,internal,paper_mill
10.26355/eurrev_201803_14481,text,internal,paper_mill
10.1155/2022/4376960,text,internal,paper_mill
10.1186/s12935-020-01365-x,text,internal,paper_mill
10.1371/journal.pone.0115300,text,internal,paper_mill
10.26355/eurrev_202003_20688,text,internal,paper_mill
10.1155/2022/2223149,text,internal,paper_mill
10.1155/2022/4071081,text,internal,paper_mill
10.1002/ar.24464,text,internal,paper_mill
10.3892/mmr.2017.7103,text,internal,paper_mill
10.1155/2022/2105332,text,internal,paper_mill
10.26355/eurrev_201911_19436,text,internal,paper_mill
10.1159/000491963,text,internal,paper_mill
10.1155/2022/4640849,text,internal,paper_mill
10.1007/s13277-015-4369-z,text,internal,paper_mill
10.1155/2022/4774195,text,internal,paper_mill
10.2147/ott.s232839,text,internal,paper_mill
10.3233/jifs-233546,text,internal,paper_mill
10.1155/2022/4082121,text,internal,paper_mill
10.1002/jcp.29284,text,internal,paper_mill
10.3389/fimmu.2021.681984,text,internal,paper_mill
10.1155/2022/6835625,text,internal,paper_mill
10.1155/2020/2748219,text,internal,paper_mill
10.1002/jcb.28729,text,internal,paper_mill
10.3892/mmr.2016.5769,text,internal,paper_mill
10.1155/2022/5800575,text,internal,paper_mill
10.3892/or.2018.6302,text,internal,paper_mill
10.1155/2022/1693824,text,internal,paper_mill
10.1155/2022/5032172,text,internal,paper_mill
10.1155/2022/3293054,text,internal,paper_mill
10.1155/2022/2513263,text,internal,paper_mill
10.1002/jcb.28777,text,internal,paper_mill
10.3892/mmr.2018.8682,text,internal,paper_mill
10.1155/2022/7469041,text,internal,paper_mill
10.1155/2022/6293816,text,internal,paper_mill
10.1155/2022/1032503,text,internal,paper_mill
10.1155/2022/1008652,text,internal,paper_mill
10.1002/jcp.28574,text,internal,paper_mill
10.1039/c9ra01491h,text,internal,paper_mill
10.3892/etm.2017.5624,text,internal,paper_mill
10.26355/eurrev_202005_21331,text,internal,paper_mill
10.3892/etm.2020.9046,text,internal,paper_mill
10.1039/c8ra02291g,text,internal,paper_mill
10.1155/2022/8024700,text,internal,paper_mill
10.1039/c9ra07332a,text,internal,paper_mill
10.1007/s11010-018-3490-x,text,internal,paper_mill
10.1155/2022/8974859,text,internal,paper_mill
10.3892/ol.2016.4364,text,internal,paper_mill
10.26355/eurrev_201912_19661,text,internal,paper_mill
10.1155/2022/4703524,text,internal,paper_mill
10.26355/eurrev_202006_21640,text,internal,paper_mill
10.3233/cbm-170310,text,internal,paper_mill
10.3892/etm.2017.4435,text,internal,paper_mill
10.1159/000494015,text,internal,paper_mill
10.1080/21691401.2019.1640233,text,internal,paper_mill
10.1039/c8ra02090f,text,internal,paper_mill
10.1155/2021/9999268,text,internal,paper_mill
10.1002/biof.1618,text,internal,paper_mill
10.3892/ol.2018.8049,text,internal,paper_mill
10.1155/2022/6428796,text,internal,paper_mill
10.2147/ott.s213371,text,internal,paper_mill
10.1155/2021/2252705,text,internal,paper_mill
10.3892/or.2017.6142,text,internal,paper_mill
10.1038/s41419-022-04750-8,text,internal,paper_mill
10.1039/c9ra06378a,text,internal,paper_mill
10.3892/ol.2018.8727,text,internal,paper_mill
10.1155/2021/2804521,text,internal,paper_mill
10.1155/2022/7957121,text,internal,paper_mill
10.1155/2021/6673712,text,internal,paper_mill
10.1155/2022/6910126,text,internal,paper_mill
10.3892/mmr.2014.2021,text,internal,paper_mill
10.1155/2022/6587884,text,internal,paper_mill
10.26355/eurrev_202004_20818,text,internal,paper_mill
10.1159/000489365,text,internal,paper_mill
10.1042/bsr20160048,text,internal,paper_mill
10.26355/eurrev_201911_19421,text,internal,paper_mill
10.1155/2022/3127058,text,internal,paper_mill
10.1155/2021/9174055,text,internal,paper_mill
10.1039/c9ra08872e,text,internal,paper_mill
10.1155/2021/8814843,text,internal,paper_mill
10.3892/mmr.2018.9020,text,internal,paper_mill
10.1155/2022/8979404,text,internal,paper_mill
10.1002/jcb.26297,text,internal,paper_mill
10.26355/eurrev_201908_18721,text,internal,paper_mill
10.1159/000489111,text,internal,paper_mill
10.3892/mmr.2017.8229,text,internal,paper_mill
10.26355/eurrev_201908_18729,text,internal,paper_mill
10.1155/2022/1635446,text,internal,paper_mill
10.1155/2022/2309339,text,internal,paper_mill
10.1155/2022/2880087,text,internal,paper_mill
10.1155/2022/8450673,text,internal,paper_mill
10.1155/2022/5892463,text,internal,paper_mill
10.3892/mmr.2015.3937,text,internal,paper_mill
10.3892/ijo.2018.4412,text,internal,paper_mill
10.1155/2022/6451770,text,internal,paper_mill
10.3892/ol.2021.12526,text,internal,paper_mill
10.1155/2022/9205150,text,internal,paper_mill
10.1155/2022/2980691,text,internal,paper_mill
10.1155/2022/1947504,text,internal,paper_mill
10.1155/2022/4491573,text,internal,paper_mill
10.1155/2022/9292538,text,internal,paper_mill
10.1155/2020/8824519,text,internal,paper_mill
10.1155/2022/2786567,text,internal,paper_mill
10.1155/2022/1548155,text,internal,paper_mill
10.1155/2022/4404406,text,internal,paper_mill
10.1155/2022/9366223,text,internal,paper_mill
10.1155/2022/7095423,text,internal,paper_mill
10.1002/jcb.26252,text,internal,paper_mill
10.1155/2021/5516819,text,internal,paper_mill
10.1002/2211-5463.13025,text,internal,paper_mill
10.1155/2022/9231641,text,internal,paper_mill
10.3892/ijo.2019.4875,text,internal,paper_mill
10.1155/2022/2311471,text,internal,paper_mill
10.1155/2022/1854473,text,internal,paper_mill
10.3892/ol.2020.11271,text,internal,paper_mill
10.1155/2021/6299472,text,internal,paper_mill
10.3892/or.2012.1788,text,internal,paper_mill
10.1155/2022/7642511,text,internal,paper_mill
10.1155/2023/9969437,text,internal,paper_mill
10.3892/or.2017.5745,text,internal,paper_mill
10.18632/aging.103036,text,internal,paper_mill
10.1155/2022/2641239,text,internal,paper_mill
10.1155/2021/3291762,text,internal,paper_mill
10.1002/mc.22764,text,internal,paper_mill
10.1007/s00210-019-01687-2,text,internal,paper_mill
10.3892/ijo.2016.3628,text,internal,paper_mill
10.1155/2021/6640652,text,internal,paper_mill
10.1155/2022/9570900,text,internal,paper_mill
10.1155/2022/9603492,text,internal,paper_mill
10.1002/jcb.26716,text,internal,paper_mill
10.1002/biof.1613,text,internal,paper_mill
10.1016/j.omtn.2019.10.035,text,internal,paper_mill
10.1155/2022/3751400,text,internal,paper_mill
10.1155/2021/4896106,text,internal,paper_mill
10.1080/21691401.2019.1699825,text,internal,paper_mill
10.1155/2022/4217529,text,internal,paper_mill
10.1155/2022/3268773,text,internal,paper_mill
10.1155/2022/4903323,text,internal,paper_mill
10.1155/2021/6635947,text,internal,paper_mill
10.3892/mmr.2018.9295,text,internal,paper_mill
10.3892/mmr.2017.7077,text,internal,paper_mill
10.1155/2020/8386936,text,internal,paper_mill
10.1155/2022/4416439,text,internal,paper_mill
10.1002/bab.1310,text,internal,paper_mill
10.1007/s11010-020-03814-7,text,internal,paper_mill
10.1002/jcb.27680,text,internal,paper_mill
10.1155/2022/5417753,text,internal,paper_mill
10.1159/000479610,text,internal,paper_mill
10.1002/jcp.28259,text,internal,paper_mill
10.3892/or.2021.8093,text,internal,paper_mill
10.3389/fonc.2021.622727,text,internal,paper_mill
10.3892/ijo.2018.4467,text,internal,paper_mill
10.1155/2022/1338214,text,internal,paper_mill
10.3892/etm.2015.2306,text,internal,paper_mill
10.3892/mmr.2015.3545,text,internal,paper_mill
10.3233/jifs-231480,text,internal,paper_mill
10.1080/24701556.2020.1814333,text,internal,paper_mill
10.1186/1471-2407-14-243,text,internal,paper_mill
10.1371/journal.pone.0249375,text,internal,paper_mill
10.1155/2022/8691835,text,internal,paper_mill
10.1371/journal.pone.0122851,text,internal,paper_mill
10.1186/s12943-018-0783-3,text,internal,paper_mill
10.3389/fimmu.2021.699746,text,internal,paper_mill
10.1177/09603271241229140,text,internal,paper_mill
10.1155/2021/6686158,text,internal,paper_mill
10.1155/2022/3398156,text,internal,paper_mill
10.1371/journal.pone.0088779,text,internal,paper_mill
10.1016/j.omtn.2020.09.020,text,internal,paper_mill
10.1155/2022/9381203,text,internal,paper_mill
10.3892/mmr.2017.7345,text,internal,paper_mill
10.1155/2022/1418232,text,internal,paper_mill
10.1155/2022/1231446,text,internal,paper_mill
10.1155/2022/8598046,text,internal,paper_mill
10.1155/2022/5492602,text,internal,paper_mill
10.1177/2058739219858553,text,internal,paper_mill
10.1155/2022/6370766,text,internal,paper_mill
10.1002/jcb.26880,text,internal,paper_mill
10.1155/2022/4933401,text,internal,paper_mill
10.1155/2021/6697597,text,internal,paper_mill
10.1155/2022/6958806,text,internal,paper_mill
10.1155/2023/6905216,text,internal,paper_mill
10.1039/c8ra00296g,text,internal,paper_mill
10.3892/mmr.2015.3425,text,internal,paper_mill
10.1042/bsr20191348,text,internal,paper_mill
10.26355/eurrev_201810_16140,text,internal,paper_mill
10.3892/ol.2019.10040,text,internal,paper_mill
10.1155/2022/6952304,text,internal,paper_mill
10.12659/msm.910702,text,internal,paper_mill
10.2147/cmar.s269774,text,internal,paper_mill
10.1155/2022/2756459,text,internal,paper_mill
10.1038/s41417-020-00247-8,text,internal,paper_mill
10.1155/2022/2419454,text,internal,paper_mill
10.1186/s11671-020-03416-8,text,internal,paper_mill
10.1515/med-2022-0418,text,internal,paper_mill
10.1155/2022/4968016,text,internal,paper_mill
10.1155/2022/6881932,text,internal,paper_mill
10.1155/2022/9993393,text,internal,paper_mill
10.3892/ijmm.2015.2217,text,internal,paper_mill
10.26355/eurrev_201911_19544,text,internal,paper_mill
10.1177/00207209211013478,text,internal,paper_mill
10.1186/s13046-018-0875-3,text,internal,paper_mill
10.3892/mmr.2018.9750,text,internal,paper_mill
10.1155/2022/1940846,text,internal,paper_mill
10.1042/bsr20192298,text,internal,paper_mill
10.1038/s41389-018-0078-y,text,internal,paper_mill
10.1155/2021/8936820,text,internal,paper_mill
10.1155/2022/7352489,text,internal,paper_mill
10.3892/or.2017.5835,text,internal,paper_mill
10.2147/ott.s168654,text,internal,paper_mill
10.1155/2022/3235238,text,internal,paper_mill
10.1080/24701556.2017.1357617,text,internal,paper_mill
10.1002/jcp.26863,text,internal,paper_mill
10.3389/fbioe.2021.775309,text,internal,paper_mill
10.1155/2022/8666724,text,internal,paper_mill
10.1155/2022/5499298,text,internal,paper_mill
10.1155/2021/8996673,text,internal,paper_mill
10.1042/bsr20190421,text,internal,paper_mill
10.1155/2022/4082196,text,internal,paper_mill
10.1155/2021/5906855,text,internal,paper_mill
10.1177/2058739218792322,text,internal,paper_mill
10.1155/2021/6733341,text,internal,paper_mill
10.18632/oncotarget.13747,text,internal,paper_mill
10.1002/jcb.26230,text,internal,paper_mill
10.1002/jcb.29429,text,internal,paper_mill
10.1134/s0022476620070161,text,internal,paper_mill
10.1002/jcp.28911,text,internal,paper_mill
10.1155/2022/5178122,text,internal,paper_mill
10.1155/2022/1787854,text,internal,paper_mill
10.1155/2021/6674988,text,internal,paper_mill
10.3892/etm.2021.10528,text,internal,paper_mill
10.1155/2022/4857814,text,internal,paper_mill
10.2147/ott.s160428,text,internal,paper_mill
10.1038/s41419-020-03170-w,text,internal,paper_mill
10.1155/2022/6107940,text,internal,paper_mill
10.3892/mmr.2015.4728,text,internal,paper_mill
10.1155/2022/2593844,text,internal,paper_mill
10.1039/c9ra04962b,text,internal,paper_mill
10.1016/j.arabjc.2020.102921,text,internal,paper_mill
10.2147/cmar.s276290,text,internal,paper_mill
10.3892/mmr.2015.4506,text,internal,paper_mill
10.3892/mmr.2021.12099,text,internal,paper_mill
10.1155/2022/5751903,text,internal,paper_mill
10.1155/2022/9578307,text,internal,paper_mill
10.26355/eurrev_201804_14711,text,internal,paper_mill
10.1155/2022/5049116,text,internal,paper_mill
10.1155/2020/1039312,text,internal,paper_mill
10.1016/j.biocel.2021.105967,text,internal,paper_mill
10.1155/2022/4010947,text,internal,paper_mill
10.1155/2022/7102500,text,internal,paper_mill
10.1155/2022/2842066,text,internal,paper_mill
10.1002/jcb.26894,text,internal,paper_mill
10.1042/bsr20200392,text,internal,paper_mill
10.2147/ott.s249392,text,internal,paper_mill
10.1155/2022/4513208,text,internal,paper_mill
10.3233/cbm-170802,text,internal,paper_mill
10.1177/2058739220934604,text,internal,paper_mill
10.1080/21691401.2019.1642903,text,internal,paper_mill
10.3892/or.2017.5916,text,internal,paper_mill
10.3727/096504016x14791726591124,text,internal,paper_mill
10.1080/24701556.2021.1916759,text,internal,paper_mill
10.2147/ijn.s136378,text,internal,paper_mill
10.3892/ijmm.2019.4429,text,internal,paper_mill
10.3389/fchem.2021.722990,text,internal,paper_mill
10.3233/jifs-236636,text,internal,paper_mill
10.1016/j.omtn.2019.04.030,text,internal,paper_mill
10.1155/2022/6468773,text,internal,paper_mill
10.1038/cgt.2015.27,text,internal,paper_mill
10.1155/2021/8666498,text,internal,paper_mill
10.1042/bsr20160165,text,internal,paper_mill
10.26355/eurrev_201906_18059,text,internal,paper_mill
10.3892/ijmm.2018.3464,text,internal,paper_mill
10.1089/cbr.2019.3520,text,internal,paper_mill
10.26355/eurrev_201907_18305,text,internal,paper_mill
10.1016/j.biopha.2019.108844,text,internal,paper_mill
10.1177/0300060518817171,text,internal,paper_mill
10.1155/2022/9529814,text,internal,paper_mill
10.1155/2021/2895893,text,internal,paper_mill
10.1155/2022/3158956,text,internal,paper_mill
10.1016/j.biopha.2017.08.048,text,internal,paper_mill
10.26355/eurrev_202002_20350,text,internal,paper_mill
10.26355/eurrev_202003_20658,text,internal,paper_mill
10.3892/ol.2019.10331,text,internal,paper_mill
10.1155/2022/5794422,text,internal,paper_mill
10.26355/eurrev_201909_18841,text,internal,paper_mill
10.1155/2022/2771869,text,internal,paper_mill
10.1002/jcb.26606,text,internal,paper_mill
10.1002/jcp.26955,text,internal,paper_mill
10.1155/2022/9554223,text,internal,paper_mill
10.1155/2022/9339905,text,internal,paper_mill
10.1016/j.biopha.2017.09.086,text,internal,paper_mill
10.2147/ott.s214881,text,internal,paper_mill
10.26355/eurrev_201906_18060,text,internal,paper_mill
10.1016/j.pharep.2017.06.005,text,internal,paper_mill
10.1039/c9ra01785b,text,internal,paper_mill
10.1155/2022/6044676,text,internal,paper_mill
10.1155/2022/2021613,text,internal,paper_mill
10.1016/j.omtn.2019.10.041,text,internal,paper_mill
10.1155/2022/9367919,text,internal,paper_mill
10.1016/j.omtn.2019.10.036,text,internal,paper_mill
10.1155/2021/3210494,text,internal,paper_mill
10.1007/s13205-021-02981-8,text,internal,paper_mill
10.1139/bcb-2019-0019,text,internal,paper_mill
10.3892/or.2017.6157,text,internal,paper_mill
10.1155/2022/2645528,text,internal,paper_mill
10.2147/ott.s219440,text,internal,paper_mill
10.1155/2021/1732176,text,internal,paper_mill
10.1155/2021/9968691,text,internal,paper_mill
10.1155/2022/2204981,text,internal,paper_mill
10.3892/mmr.2017.7282,text,internal,paper_mill
10.1177/2058739219838396,text,internal,paper_mill
10.1080/21691401.2019.1666863,text,internal,paper_mill
10.1155/2022/3188992,text,internal,paper_mill
10.1155/2021/5514726,text,internal,paper_mill
10.1080/24701556.2020.1727513,text,internal,paper_mill
10.1002/jcp.26573,text,internal,paper_mill
10.1155/2022/3722703,text,internal,paper_mill
10.1089/cbr.2018.2545,text,internal,paper_mill
10.1089/cbr.2017.2386,text,internal,paper_mill
10.1155/2022/9580991,text,internal,paper_mill
10.1155/2021/8635381,text,internal,paper_mill
10.1186/s12935-021-01885-0,text,internal,paper_mill
10.1155/2022/9051678,text,internal,paper_mill
10.1039/c9ra09887a,text,internal,paper_mill
10.1042/bsr20181882,text,internal,paper_mill
10.1155/2022/9690401,text,internal,paper_mill
10.1155/2023/9196583,text,internal,paper_mill
10.3892/ijo.2019.4759,text,internal,paper_mill
10.1002/ar.24415,text,internal,paper_mill
10.1002/2211-5463.12676,text,internal,paper_mill
10.26355/eurrev_201904_17689,text,internal,paper_mill
10.2147/cmar.s229083,text,internal,paper_mill
10.3892/mmr.2018.9652,text,internal,paper_mill
10.1177/1533033819870209,text,internal,paper_mill
10.3892/or.2020.7905,text,internal,paper_mill
10.2147/ott.s241816,text,internal,paper_mill
10.1002/2211-5463.12869,text,internal,paper_mill
10.3892/etm.2017.5467,text,internal,paper_mill
10.1177/2058739219846346,text,internal,paper_mill
10.1155/2020/9567846,text,internal,paper_mill
10.1155/2022/6730024,text,internal,paper_mill
10.1080/21691401.2018.1436065,text,internal,paper_mill
10.3892/mmr.2017.7195,text,internal,paper_mill
10.1155/2021/2464269,text,internal,paper_mill
10.1002/jcp.29202,text,internal,paper_mill
10.1002/mgg3.991,text,internal,paper_mill
10.1159/000494472,text,internal,paper_mill
10.1177/2058739220959904,text,internal,paper_mill
10.1159/000437379,text,internal,paper_mill
10.1155/2022/3255403,text,internal,paper_mill
10.1039/c9ra05572j,text,internal,paper_mill
10.1016/j.omtn.2019.12.029,text,internal,paper_mill
10.2147/cmar.s246166,text,internal,paper_mill
10.1155/2022/7896218,text,internal,paper_mill
10.2147/ott.s154339,text,internal,paper_mill
10.1371/journal.pone.0104510,text,internal,paper_mill
10.1042/bsr20180532,text,internal,paper_mill
10.18632/aging.102157,text,internal,paper_mill
10.3892/mmr.2015.4560,text,internal,paper_mill
10.1155/2022/8749999,text,internal,paper_mill
10.1155/2022/8575305,text,internal,paper_mill
10.1155/2022/8670534,text,internal,paper_mill
10.1155/2021/3207328,text,internal,paper_mill
10.1002/ar.24410,text,internal,paper_mill
10.1002/jcp.27893,text,internal,paper_mill
10.1155/2022/7806659,text,internal,paper_mill
10.1155/2022/2459013,text,internal,paper_mill
10.1177/2058739218794531,text,internal,paper_mill
10.1155/2021/3533608,text,internal,paper_mill
10.18632/aging.103564,text,internal,paper_mill
10.3233/cbm-170732,text,internal,paper_mill
10.26355/eurrev_201906_18044,text,internal,paper_mill
10.1155/2022/4557346,text,internal,paper_mill
10.1042/bsr20181196,text,internal,paper_mill
10.1007/s13277-016-4858-8,text,internal,paper_mill
10.3892/ol.2020.11397,text,internal,paper_mill
10.3892/or.2015.3986,text,internal,paper_mill
10.1007/s13577-019-00256-2,text,internal,paper_mill
10.1155/2022/7784921,text,internal,paper_mill
10.1002/cam4.3285,text,internal,paper_mill
10.2147/cmar.s244573,text,internal,paper_mill
10.1155/2022/1849969,text,internal,paper_mill
10.26355/eurrev_201801_14176,text,internal,paper_mill
10.3892/ijo.2019.4765,text,internal,paper_mill
10.1155/2022/7502185,text,internal,paper_mill
10.3892/ol.2018.9439,text,internal,paper_mill
10.3892/etm.2017.4477,text,internal,paper_mill
10.2147/cmar.s211856,text,internal,paper_mill
10.1155/2021/9972057,text,internal,paper_mill
10.1155/2022/1954099,text,internal,paper_mill
10.1155/2022/8131531,text,internal,paper_mill
10.1098/rsob.190173,text,internal,paper_mill
10.1155/2022/9374774,text,internal,paper_mill
10.1002/biof.1586,text,internal,paper_mill
10.3892/mmr.2017.7660,text,internal,paper_mill
10.1155/2022/7995385,text,internal,paper_mill
10.3892/ijmm.2019.4245,text,internal,paper_mill
10.3892/or.2014.3657,text,internal,paper_mill
10.26355/eurrev_202002_20178,text,internal,paper_mill
10.1159/000495868,text,internal,paper_mill
10.1155/2022/4893859,text,internal,paper_mill
10.26355/eurrev_201903_17382,text,internal,paper_mill
10.1155/2022/7858477,text,internal,paper_mill
10.1155/2022/4168937,text,internal,paper_mill
10.3892/ijo.2015.2900,text,internal,paper_mill
10.26355/eurrev_201909_19010,text,internal,paper_mill
10.1155/2020/1459368,text,internal,paper_mill
10.1155/2021/9939065,text,internal,paper_mill
10.1002/ar.24367,text,internal,paper_mill
10.1155/2022/2043880,text,internal,paper_mill
10.1038/srep12460,text,internal,paper_mill
10.1155/2021/7561645,text,internal,paper_mill
10.1080/15384101.2020.1816280,text,internal,paper_mill
10.1002/jcb.26469,text,internal,paper_mill
10.1002/jcb.29415,text,internal,paper_mill
