doi,pmid,pmcid,label,source,journal,country,pub_year
10.1155/2021/5955343,34485520,,paper_mill,retraction_watch,BioMed Research International,China;United States,2021
10.1155/2022/3924400,35252444,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/3516128,33029504,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2021/5514669,34136566,,paper_mill,retraction_watch,BioMed Research International,China;Pakistan;Turkey,2021
10.1155/2022/4541918,35496045,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/2696916,35411308,,paper_mill,retraction_watch,BioMed Research International,Bangladesh;India,2022
10.1155/2019/9648269,31534970,,paper_mill,retraction_watch,BioMed Research International,China,2019
10.1155/2021/5655061,34337032,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/1263812,35832845,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/6388492,34901275,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/6299472,34853791,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/7858477,35155681,,paper_mill,retraction_watch,BioMed Research International,China;Philippines,2022
10.1155/2021/4682589,34790819,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2020/1203938,32724792,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2022/9809932,35711517,,paper_mill,retraction_watch,BioMed Research International,China;Pakistan;Saudi Arabia;United Arab Emirates,2022
10.1155/2022/7037497,35860804,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/3208391,32461977,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2021/2033353,34765675,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/3347949,35005016,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/5513886,34988226,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/3291762,34631879,,paper_mill,retraction_watch,BioMed Research International,Taiwan,2021
10.1155/2022/2897338,35419458,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/1971048,34485511,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/4896106,34888380,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/5514726,34250086,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2021/2464269,34746300,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/3113857,35528175,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/4404406,35480140,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/8363850,35281604,,paper_mill,retraction_watch,BioMed Research International,Ghana;India;United Arab Emirates;United States,2022
10.1155/2022/2805607,35463989,,paper_mill,retraction_watch,BioMed Research International,India;Saudi Arabia;South Korea,2022
10.1155/2022/5852451,35224096,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2021/9201235,34337060,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/4168937,35480143,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1177/2058739218819283,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218792322,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219845547,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219828236,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219847830,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219846346,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739220934604,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2020
10.1177/2058739218778710,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219871419,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219837050,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739220959904,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2020
10.1177/2058739220934560,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2020
10.1177/2058739218794531,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218818952,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218819675,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218781125,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219845534,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219838396,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739218796707,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219852854,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739218804329,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219858553,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739220942339,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2020
10.1177/2058739218818954,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218796706,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219828628,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219827166,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219844393,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739219837049,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1177/2058739218781291,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218782228,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739218793550,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2018
10.1177/2058739219854598,,,paper_mill,retraction_watch,European Journal of Inflammation,China,2019
10.1155/2021/4171019,34888378,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.1155/2022/7386946,36164444,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2020/2727060,32775413,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/3589871,32733938,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/4637109,32851074,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/2539150,33029498,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/8084028,32685526,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1155/2020/8386936,32596384,,paper_mill,retraction_watch,BioMed Research International,China,2020
10.1186/s12885-018-5175-y,30547768,,paper_mill,retraction_watch,BMC Cancer,China,2018
10.1186/s12885-018-5130-y,30526546,,paper_mill,retraction_watch,BMC Cancer,China,2018
10.1016/j.abb.2021.108965,34129838,,paper_mill,retraction_watch,Archives of Biochemistry and Biophysics,China,2021
10.1155/2021/6666453,33688501,,paper_mill,retraction_watch,BioMed Research International,China,2021
10.3233/jifs-232782,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,Malaysia;Saudi Arabia,2024
10.3233/jifs-235116,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-232325,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2024
10.3233/jifs-231776,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-231176,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-212071,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2022
10.3233/jifs-221302,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2022
10.3233/jifs-233484,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-239804,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,Germany;India,2024
10.3233/jifs-233491,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-236636,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2024
10.3233/jifs-233845,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.1155/2021/5538535,33855071,,paper_mill,retraction_watch,BioMed Research International,Pakistan,2021
10.1155/2021/1124055,34812407,,paper_mill,retraction_watch,BioMed Research International,Pakistan,2021
10.3233/jifs-233546,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-233510,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-234647,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,Turkey,2024
10.3233/jifs-231480,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2023
10.3233/jifs-169980,,,paper_mill,retraction_watch,Journal of Intelligent & Fuzzy Systems,India,2019
10.1007/s12032-022-01836-3,36175809,,paper_mill,retraction_watch,Medical Oncology,India;Iran;United Kingdom,2022
10.1007/s12032-022-01838-1,36224407,,paper_mill,retraction_watch,Medical Oncology,India;Iran;Pakistan;United Kingdom,2022
10.1038/s41419-020-03123-3,33097691,,paper_mill,retraction_watch,Cell Death & Disease,China;United States,2020
10.1155/2023/9477442,36794258,,paper_mill,retraction_watch,BioMed Research International,China,2023
10.1155/2021/6656080,33936579,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/9385451,36082173,,paper_mill,retraction_watch,Scanning,China,2022
10.1155/2022/9498109,36033553,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/6720287,35783518,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,China,2022
10.1155/2022/9086540,36248431,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,China,2022
10.1155/2022/9694425,35873114,,paper_mill,retraction_watch,International Journal of Analytical Chemistry,China,2022
10.1155/2021/8218043,34950443,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/8911343,35495878,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/9664195,34849149,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2022/9993393,36117724,,paper_mill,retraction_watch,Stem Cells International,China,2022
10.1155/2021/6717582,34745507,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/8450673,35399858,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/9644466,35242247,,paper_mill,retraction_watch,Disease Markers,China,2022
10.1155/2022/7957121,35320997,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/9299001,34795888,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/7608428,35721234,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2022/8281558,35368937,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/9292538,35706508,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2022/9559496,36051481,,paper_mill,retraction_watch,BioMed Research International,China,2022
10.1155/2022/7201485,35733570,,paper_mill,retraction_watch,Computational Intelligence and Neuroscience,China,2022
10.1155/2022/7042014,36128170,,paper_mill,retraction_watch,Contrast Media & Molecular Imaging,China,2022
10.1155/2022/8402732,35340241,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/7155525,35655916,,paper_mill,retraction_watch,Disease Markers,China,2022
10.1155/2022/9538051,35854774,,paper_mill,retraction_watch,Contrast Media & Molecular Imaging,China,2022
10.1155/2021/9549287,34777569,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2022/8691835,36276872,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,China,2022
10.1155/2021/9391104,34733461,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/9174055,34707800,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/9979200,35341178,,paper_mill,retraction_watch,Computational Intelligence and Neuroscience,China,2022
10.1155/2021/5212721,34567116,,paper_mill,retraction_watch,Journal of Oncology,China,2021
10.1155/2021/6645515,,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/6673712,33815731,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/8023490,34745511,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/4731281,34804451,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/3727794,34691377,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/4016081,35356608,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/9999863,34306604,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/9780677,35154614,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/7733654,34745510,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/1262291,34557228,,paper_mill,retraction_watch,Journal of Oncology,China,2021
10.1155/2022/3972298,35378943,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/4891889,35251568,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/2270777,35310196,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/5794422,35392146,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/6635947,33613927,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/5920035,34158913,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/1040374,34659676,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/5812499,34527076,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China;Pakistan,2021
10.1155/2021/6929971,34721827,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China;Iran,2021
10.1155/2021/3761858,34745496,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/6651236,33747418,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/3880356,35432820,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/1562511,35432828,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/3565676,35222883,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/4242646,34545300,,paper_mill,retraction_watch,Journal of Healthcare Engineering,Ethiopia;India,2021
10.1155/2022/8381559,35126951,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/9971325,34447527,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/6602648,35432823,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China;Russia,2022
10.1155/2022/5800575,35399632,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,China,2022
10.1155/2022/7052066,35281533,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/5542822,33791081,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/5070099,34733329,,paper_mill,retraction_watch,Journal of Oncology,China,2021
10.1155/2022/2872461,35070232,,paper_mill,retraction_watch,Journal of Healthcare Engineering,Egypt;India;Saudi Arabia,2022
10.1155/2022/9580991,35310182,,paper_mill,retraction_watch,Journal of Healthcare Engineering,Ethiopia;India;Saudi Arabia,2022
10.1155/2021/9996565,34221304,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/7832618,35242299,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/2311471,35646297,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/7779693,34567487,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/7069348,35388316,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/5821938,35242297,,paper_mill,retraction_watch,Journal of Healthcare Engineering,Ghana;India;Saudi Arabia,2022
10.1155/2022/2525433,35692589,,paper_mill,retraction_watch,BioMed Research International,Iraq;Sudan,2022
10.1155/2022/6952304,35186235,,paper_mill,retraction_watch,Journal of Healthcare Engineering,India;Pakistan;Romania,2022
10.1155/2021/4022312,34868516,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/4757668,34608411,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/6088322,34868525,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/4623850,34976327,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/4600751,35449870,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/1278515,,,paper_mill,retraction_watch,Wireless Communications and Mobile Computing,Taiwan;United Kingdom,2022
10.1155/2021/6648611,33604009,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/3107965,35222880,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/8997915,34336168,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/5573010,,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/7872915,35340234,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2021/1951364,34603482,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2022/9339905,35103072,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China;South Korea,2022
10.1155/2021/1090698,34917302,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/4321466,35756405,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/2680526,34795881,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/4456987,36081434,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2022/1127146,35898476,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2022/4477099,35251566,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/3877984,35140901,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2022/3049619,35607647,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2022/7065845,36092164,,paper_mill,retraction_watch,Oxidative Medicine and Cellular Longevity,Egypt;Saudi Arabia,2022
10.1155/2021/8936820,34876968,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/6091585,34804455,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/9205150,36111267,,paper_mill,retraction_watch,Scanning,China,2022
10.1155/2022/3547070,35028118,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.18632/aging.103762,33109774,,paper_mill,retraction_watch,Aging,China,2020
10.1155/2022/6198448,35774742,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,China,2022
10.1155/2022/2373580,35035814,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2022
10.1155/2020/1459368,33133224,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2020
10.1155/2023/3560340,36755802,,paper_mill,retraction_watch,Disease Markers,China,2023
10.1155/2021/6076135,34795882,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/2056807,35783507,,paper_mill,retraction_watch,Evidence-Based Complementary and Alternative Medicine,Ethiopia;India,2022
10.1155/2022/1704948,35912162,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/7020177,34925737,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/7380120,34925738,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/1141619,34721822,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/8715823,34840598,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2022/5997895,35498147,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2022/1475871,35251294,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/2057782,34858518,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2022/2756459,35242218,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2022/5721630,35465183,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2022/6405400,35386209,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2021/7773163,34840703,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/2105176,34621500,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/2502010,35281946,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2022/6940715,35136418,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2022/1790104,35280124,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,China,2022
10.1155/2021/9338091,34845416,,paper_mill,retraction_watch,Applied Bionics and Biomechanics,Jordan;Saudi Arabia,2021
10.1155/2022/3193553,35136416,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/8700506,,,paper_mill,retraction_watch,Mobile Information Systems,Canada;China,2021
10.1155/2021/1732176,34966440,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2021/6468405,34812269,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2021
10.1155/2021/6457688,34691379,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2022/2043880,35528245,,paper_mill,retraction_watch,Journal of Oncology,China,2022
10.1155/2022/6881932,35116073,,paper_mill,retraction_watch,Computational and Mathematical Methods in Medicine,China,2022
10.1155/2021/5230666,34900193,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
10.1155/2021/1159145,34840694,,paper_mill,retraction_watch,Journal of Healthcare Engineering,China,2021
